epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8206,0.95219,1.2007,1.1233,0.95451,0.875,0.91848,0.75954,0.68752,0.97237,0.97678,4.287e-05,4.287e-05,4.287e-05
2,33.98,0.96356,1.15613,1.12147,0.96425,0.87649,0.94331,0.77232,0.67812,0.95796,0.95497,9.90397e-05,9.90397e-05,9.90397e-05
3,47.2832,0.82008,1.02382,1.02685,0.97413,0.89753,0.95796,0.78518,0.65865,0.9325,0.94492,0.000154078,0.000154078,0.000154078
4,61.3869,0.74119,0.96555,0.97983,0.97441,0.90905,0.96282,0.79017,0.66902,0.90976,0.95943,0.000207984,0.000207984,0.000207984
5,75.0604,0.87949,1.08202,1.04721,0.92999,0.93376,0.95747,0.77411,0.68851,0.93885,0.96365,0.000260758,0.000260758,0.000260758
6,88.3686,0.82424,0.9832,1.02309,0.90378,0.93465,0.9611,0.77165,0.68577,0.95224,0.95513,0.000312401,0.000312401,0.000312401
7,102.058,0.84552,0.95812,1.05342,0.9493,0.95393,0.98502,0.81446,0.64657,0.87365,0.91077,0.000362912,0.000362912,0.000362912
8,115.91,0.80981,0.96884,1.00337,0.98188,0.9495,0.99065,0.82231,0.633,0.85552,0.8979,0.000412291,0.000412291,0.000412291
9,129.234,0.8127,1.01849,1.03192,0.97319,0.96761,0.99116,0.82737,0.63081,0.85286,0.89355,0.000460538,0.000460538,0.000460538
10,142.998,0.77309,0.93754,0.96177,0.96942,0.96657,0.99238,0.81453,0.65361,0.8965,0.90285,0.000507654,0.000507654,0.000507654
11,156.088,0.82464,0.95902,1.01609,0.96916,0.96093,0.99037,0.81632,0.62255,0.89445,0.89712,0.000553637,0.000553637,0.000553637
12,169.346,0.8356,0.91357,1.00483,0.97246,0.98465,0.99115,0.82181,0.60887,0.8891,0.90017,0.000598489,0.000598489,0.000598489
13,183.496,0.86712,0.91952,0.99626,0.97275,0.98116,0.99253,0.81833,0.64491,0.89756,0.90611,0.00064221,0.00064221,0.00064221
